Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
120,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3451,81,121,Mean,3474,69,146
121,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3452,122,66,Mean,3468,81,80
122,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3452,122,66,Mean,3479,156,122
123,Extreme,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3452,122,66,Mean,3500,95,70
124,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3453,63,109,Mean,3463,54,139
125,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3453,63,109,Mean,3469,9,171
126,Extreme,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3453,63,109,Mean,3490,13,165
127,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3454,165,71,Mean,3476,268,200
128,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3454,165,71,Mean,3477,280,198
129,Extreme,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3454,165,71,Mean,3487,151,106
130,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3455,154,92,Mean,3465,105,202
131,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3455,154,92,Mean,3473,80,195
132,Extreme,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3455,154,92,Mean,3494,176,265
133,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3456,92,79,Mean,3460,44,258
